protein,degree,eigenvector,katz,page rank,betweenness,subgraph,closeness
YDR296W,80.0,0.011361882480137106,0.01473948656882188,0.00021565131748537566,0.001793053608769301,1.5733894272901242e+90,0.2689141131193063
YMR072W,10.0,5.6730732790884234e-05,0.004776456686518077,0.0001057352571016885,0.0003915093171588487,3.923693439684736e+85,0.24841366275145133
YFL036W,12.0,0.0002822519433507476,0.004987109545191934,0.00012550512884441478,0.0005207373997651603,9.696145491288562e+86,0.2521238695533023
YAL015C,14.0,0.0003464498435395347,0.005098663249118209,0.00010112274381357262,0.00074837019468452,1.4621541471489168e+87,0.2709867452135493
YMR003W,13.0,8.48658054264236e-05,0.004903588051387887,0.00010614139648710346,0.00015829331777950545,8.759470369735792e+85,0.2473450732625353
YFL038C,92.0,2.25564260529421e-05,0.00647222509716553,0.0010142240391955502,0.032298910786232995,6.197766350479674e+84,0.29032767054120867
YGR174C,16.0,0.0001300052483094657,0.004986474550641899,0.0001485198869824508,0.00032275466505650435,2.0583634535430528e+86,0.25408515535097814
YKL192C,116.0,0.009378944338065466,0.01409193436115317,0.000577950160153972,0.014471103955398704,1.0719447755190294e+90,0.31488876212207645
YLR163C,34.0,0.00033926707834131377,0.0055895546659690725,0.00021533317873144857,0.00018904050813062364,1.4019116168542911e+87,0.2688355330443676
YER048W-A,40.0,6.272404489471656e-05,0.005419296769602279,0.0004088605811378151,0.004864319864622311,4.794611757886907e+85,0.2785206115343862
YHR024C,38.0,0.00016312621211360788,0.00553041213442851,0.00026072445809679405,0.0007618361929730902,3.239206476687709e+86,0.2714531595770838
YML043C,64.0,0.0012575941238683129,0.006972537155360573,0.0003504953674163549,0.002824618067023841,1.9259363208439978e+88,0.2891717743202892
YKL148C,54.0,0.0003423404242351602,0.006079875397162061,0.000327099225270906,0.003157661974965245,1.4268404831819617e+87,0.2871261378413524
YDL069C,7.0,3.3283251264790677e-06,0.004675683028123509,0.00011612468295276173,0.0003251540470874868,1.3481311786454e+83,0.2248747301095857
YDR197W,10.0,5.0310452754665405e-06,0.004736615093424135,0.00014545996820728655,0.00042627259666824953,3.081239015990224e+83,0.22677786450844253
YPL215W,17.0,0.00023868436959031234,0.005089869782208902,0.0001365158975847875,0.00017165104222712356,6.941228780303577e+86,0.25801626624287183
YGR150C,36.0,0.005197764572918529,0.009189905695558267,0.00014834870588531106,0.0010191779745742772,3.292645056457049e+89,0.2619589977220957
YIL177C,7.0,1.226947184801319e-06,0.004668184006724164,0.0001622504983629191,0.0015240288678449723,1.832632465619709e+82,0.2196490390354542
YLR382C,37.0,0.0007330487121123977,0.005857391595012504,0.00020527359535330914,0.0005509168846260303,6.548638189130186e+87,0.26270702455739575
YJL225C,6.0,1.2208054400525574e-06,0.004648586252464851,0.00014693559677752508,0.0027546204327060664,1.8143495474407212e+82,0.21965777954635893
YIL177W-A,2.0,1.2206586747346743e-06,0.004570346342872457,5.329974547205394e-05,0.0,1.8139157992318297e+82,0.21788040260509178
YBR127C,29.0,0.0003039059669628979,0.005387876699495942,0.0002086388718710519,0.00026521703255892414,1.1255630815771808e+87,0.26415274919844955
YMR098C,9.0,0.0010334799189294101,0.005492296771523714,8.101657228607912e-05,0.0005147306942029569,1.3017628634987196e+88,0.2558753998053122
YMR282C,2.0,3.875599069581034e-06,0.004573499640832605,6.256691410334037e-05,0.00018141034070442733,1.8305461446821254e+83,0.2267312905610778
YHR039C-A,25.0,0.00020427378047966415,0.005226940601583597,0.00019264508811854005,0.00032519008808374033,5.085273554416014e+86,0.25992371803927106
YPR036W,24.0,0.00020422908370809173,0.005207309601850292,0.00019031732707065215,0.00041586047030208384,5.083048496953372e+86,0.25924012586295964
YDL227C,40.0,3.412846825320097e-05,0.005474524561568999,0.0002762662763285522,0.002226166560769273,1.417539888920155e+85,0.2786471479050984
YDL185W,28.0,0.00030383118981847703,0.0053668201554692195,0.00020182166887586074,0.000833578136331059,1.125020688001319e+87,0.2624946502448999
YGR020C,27.0,0.0002985796220651721,0.005342199513370997,0.00018934725135890103,0.00021276894878724046,1.0864587782133965e+87,0.2601564709209162
YKL080W,24.0,0.00020426920151856158,0.005208039226514381,0.00017306810265210211,9.064668359163608e-05,5.085045536300041e+86,0.25987477049103147
YOR332W,27.0,0.00031337621438636736,0.00535334205530671,0.0001923829212658545,0.00020418478949748388,1.1967401253424167e+87,0.26199629787839956
YJL131C,2.0,3.875758646283801e-06,0.004573505763812723,5.894898571482784e-05,6.44113235980201e-05,1.830696447591824e+83,0.22737570540017302
YLR178C,63.0,0.007373978685343451,0.011392665292550301,0.0003111672394048388,0.004950912162287228,6.627258303849539e+89,0.2901750512537455
YEL051W,25.0,0.00019509441755966026,0.005217023953435782,0.000179429428201786,0.00014182380135910807,4.63847503261811e+86,0.26095589278116577
YOL009C,28.0,9.979387550504933e-05,0.005191149821223564,0.0002686523159782053,0.000976349701758674,1.2137258750040913e+86,0.25754677366677553
YJR101W,80.0,0.011235153421875003,0.014653281813820833,0.00018472330810320186,0.0002580531531707703,1.5384972131034547e+90,0.27094684140774555
YNL177C,261.0,0.06045923165002412,0.055086768925665046,0.0004820824221816984,0.0008295147284179224,4.453927985452736e+91,0.32029708715330163
YBR146W,176.0,0.03517749362695772,0.034567777354681875,0.0003599471921198131,0.0005208015846428905,1.5078896469970265e+91,0.3059188649966748
YBL038W,226.0,0.052361466078837335,0.04833761595073147,0.0004210050709833801,0.0005663338455859339,3.3407566312408354e+91,0.3093303446343514
YDR041W,289.0,0.06381587341212405,0.05813423317620239,0.0005486098789862734,0.0018298075442011762,4.962203880980399e+91,0.32104222403163896
YPL118W,135.0,0.029256154072101203,0.02925433126238581,0.0002682264836582682,0.0002893834599004433,1.0429714506743786e+91,0.29438429950402645
YBR251W,288.0,0.06408192559574846,0.058320443788272176,0.0005526247644726288,0.0021951924340220695,5.003661662749392e+91,0.3219222021344842
YBR122C,76.0,0.011297577085505234,0.014616812444255504,0.00016292722873146063,1.5291881996187088e-06,1.5556390541333644e+90,0.2652698351674756
YDR462W,117.0,0.021314702628252285,0.022969354427706912,0.0002401550273214357,8.952897010815775e-05,5.536611556532098e+90,0.29138513513513514
YKL155C,44.0,0.0054523744988170045,0.009543190680915109,0.0001516311941504898,0.0005208902018521751,3.623187564946562e+89,0.26416539050535986
